distance_overtaker;distance_stationary;direction;way_id;course;speed;time;geometry
2,75;0,9500000000000001;1;129138634,0;6,163499353724075;4,444444444444445;2022-08-01 10:18:20+00:00;POINT (14.328691001 51.765653562)
1,6400000000000001;1,82;1;129138634,0;6,152327501182059;4,527777777777778;2022-08-01 10:18:22+00:00;POINT (14.328827693 51.765637229)
0,66;1,1;1;129138634,0;6,135576529153119;4,694444444444444;2022-08-01 10:18:24+00:00;POINT (14.328984342 51.765618512)
1,17;1,16;1;129138634,0;6,12056914104692;4,694444444444444;2022-08-01 10:18:27+00:00;POINT (14.329208715 51.765591703)
1,67;;1;129138634,0;6,132877901063685;4,805555555555555;2022-08-01 10:18:29+00:00;POINT (14.329366057 51.765572882)
0,66;1,08;1;129138634,0;6,103459329323769;4,916666666666666;2022-08-01 10:18:31+00:00;POINT (14.329549623 51.765550032)
1,6500000000000001;1,06;-1;127010194,0;4,082101718270481;3,222222222222222;2022-08-02 10:11:26+00:00;POINT (14.321210273 51.766481538)
0,68;1,21;-1;128572896,0;3,4726673009932507;3,888888888888889;2022-08-02 10:11:28+00:00;POINT (14.321106968 51.766418074)
0,77;;-1;128572896,0;3,4466762068384016;4,694444444444444;2022-08-02 10:11:49+00:00;POINT (14.319717956 51.766147689)
1,29;1,44;-1;128572896,0;3,455030399835998;4,5;2022-08-02 10:11:51+00:00;POINT (14.319610332 51.76612096)
2,2600000000000002;1,48;-1;128572896,0;3,4881033419637393;4,972222222222221;2022-08-02 10:12:05+00:00;POINT (14.318658536 51.765878721)
1,36;2,08;-1;128572896,0;3,503307952275413;5,083333333333333;2022-08-02 10:12:10+00:00;POINT (14.31830396 51.765790875)
1,95;1,7;-1;128572896,0;3,2645413255489824;4,833333333333333;2022-08-02 10:12:38+00:00;POINT (14.316367403 51.76539743)
0,85;1,58;-1;128572896,0;3,2530123786420084;4,888888888888889;2022-08-02 10:12:41+00:00;POINT (14.316135225 51.765372187)
1,82;2,12;-1;128572896,0;3,257434344834862;4,444444444444445;2022-08-02 10:12:57+00:00;POINT (14.314900135 51.765284308)
1,21;2,05;-1;897114839,0;3,2796569240688047;4,472222222222222;2022-08-02 10:13:03+00:00;POINT (14.314492792 51.765265229)
1,24;1,59;1;897114840,0;0,35543560403694435;2,7777777777777777;2022-08-02 10:13:29+00:00;POINT (14.313832033 51.765244843)
1,06;1,33;1;897221428,0;0,3420689999605458;3,555555555555556;2022-08-02 10:13:32+00:00;POINT (14.314037097 51.765250567)
2,18;2,05;1;128572896,0;0,3911584795679888;5,055555555555555;2022-08-02 10:14:26+00:00;POINT (14.318065835 51.76573188)
1,4000000000000001;1,72;1;128572896,0;0,3965606226687616;5,055555555555555;2022-08-02 10:14:29+00:00;POINT (14.318272549 51.765783093)
2,5500000000000003;2,27;-1;141561211,0;6,126894912387848;4,555555555555555;2022-08-02 10:16:07+00:00;POINT (14.325253483 51.766092651)
0,78;1,77;-1;141561211,0;6,085007010339984;4,861111111111111;2022-08-02 10:16:11+00:00;POINT (14.325527894 51.766058544)
0,64;;1;129138633,0;0,04235320682644557;2,4722222222222223;2022-08-02 10:16:55+00:00;POINT (14.327978867 51.765740359)
2,54;1,1300000000000001;1;129138634,0;0,017626778247591537;3,9166666666666665;2022-08-02 10:17:02+00:00;POINT (14.32840233 51.765688054)
2,09;1,6600000000000001;1;129138634,0;6,084802108685801;4,5;2022-08-02 10:17:07+00:00;POINT (14.32877227 51.765643852)
1,1300000000000001;1,76;1;129144756,0;6,146312398447986;2,944444444444444;2022-08-02 10:18:22+00:00;POINT (14.332368489 51.765228302)
1,6300000000000001;1,8;1;129144756,0;6,207137471945839;3,638888888888889;2022-08-02 10:18:24+00:00;POINT (14.332474378 51.765218525)
1,96;2,21;1;129144756,0;0,10565420440117751;4,833333333333333;2022-08-02 10:18:26+00:00;POINT (14.33263475 51.765213592)
1,98;1,98;1;225079482,0;0,23972533608455104;4,416666666666667;2022-08-02 10:18:29+00:00;POINT (14.33283801 51.765211401)
0,8300000000000001;2,18;1;129138637,0;0,11890177702258999;4,388888888888889;2022-08-02 10:18:32+00:00;POINT (14.33304888 51.765213783)
2,0;2,24;1;129138637,0;0,14374165200282368;4,888888888888889;2022-08-02 10:18:33+00:00;POINT (14.333134863 51.765217257)
1,56;2,09;1;129138636,0;0,15351357595181492;5,249999999999999;2022-08-02 10:18:37+00:00;POINT (14.333462775 51.765234893)
1,96;1,29;1;129138636,0;0,16209605801557173;5,138888888888888;2022-08-02 10:18:38+00:00;POINT (14.333538919 51.765239452)
0,91;1,94;1;225079481,0;0,16782405408769202;5,083333333333333;2022-08-02 10:18:40+00:00;POINT (14.333687296 51.765246469)
0,67;2,2600000000000002;1;225079481,0;0,01569225530468109;4,861111111111111;2022-08-02 10:18:46+00:00;POINT (14.334172525 51.765261524)
1,43;1,28;1;225079641,0;6,225929781067912;5,416666666666667;2022-08-02 10:18:53+00:00;POINT (14.334766014 51.765250613)
1,27;1,3800000000000001;1;779677958,0;5,891082429953343;5,416666666666667;2022-08-02 10:19:22+00:00;POINT (14.336969003 51.764982803)
0,9400000000000001;1,34;1;225079831,0;5,841038255245059;5,277777777777778;2022-08-02 10:19:27+00:00;POINT (14.337351229 51.764881388)
1,42;1,57;1;225079830,0;5,654374593612565;4,472222222222222;2022-08-02 10:19:48+00:00;POINT (14.338638476 51.764388887)
1,44;1,69;1;225079830,0;5,647557686620126;4,416666666666667;2022-08-02 10:19:51+00:00;POINT (14.338796052 51.764316584)
2,7;;-1;117869090,0;1,7897688254086086;4,083333333333333;2022-08-02 10:21:22+00:00;POINT (14.340931633 51.763048092)
1,78;1,02;-1;225079830,0;2,4211067757325178;4,888888888888889;2022-08-02 10:21:55+00:00;POINT (14.339051134 51.764198592)
0,9500000000000001;0,86;-1;225079830,0;2,4695808522457074;5,166666666666667;2022-08-02 10:22:01+00:00;POINT (14.338657207 51.764380293)
2,59;1,3;-1;225079831,0;2,554204886357905;5,249999999999999;2022-08-02 10:22:16+00:00;POINT (14.337590504 51.764813463)
1,32;0,68;-1;225079642,0;2,5778499089322233;5,027777777777778;2022-08-02 10:22:21+00:00;POINT (14.337255007 51.764908691)
2,16;1,0;-1;225079640,0;2,6329108580424387;4,277777777777778;2022-08-02 10:22:33+00:00;POINT (14.33650349 51.765092774)
0,68;0,9;-1;225079640,0;2,6403808672409754;4,361111111111111;2022-08-02 10:22:38+00:00;POINT (14.336161107 51.765142522)
2,5100000000000002;2,1;-1;225079481,0;3,015111784290417;3,8333333333333335;2022-08-02 10:23:06+00:00;POINT (14.334149221 51.76526178)
1,47;2,0100000000000002;-1;225079481,0;3,0445300069644827;4,361111111111111;2022-08-02 10:23:11+00:00;POINT (14.333804183 51.765251338)
